amfi_code,date,nav
118632,2026-01-01,150.2
118632,2026-01-02,151.4
118632,2026-01-03,152.65
118632,2026-01-04,152.65
118632,2026-01-05,153.8
118632,2026-01-06,154.95
118632,2026-01-07,155.25
118632,2026-01-08,156.4
118632,2026-01-09,157.15
118632,2026-01-10,158.3
119092,2026-01-01,75.5
119092,2026-01-02,76.25
119092,2026-01-03,77.1
119092,2026-01-04,77.1
119092,2026-01-05,77.1
119092,2026-01-06,78.45
119092,2026-01-07,79.2
119092,2026-01-08,80.15
119092,2026-01-09,81.05
119092,2026-01-10,82.3
119551,2026-01-01,100.25
119551,2026-01-02,101.1
119551,2026-01-03,102.4
119551,2026-01-04,102.4
119551,2026-01-05,102.4
119551,2026-01-06,103.75
119551,2026-01-07,104.2
119551,2026-01-08,105.1
119551,2026-01-09,104.85
119551,2026-01-10,106.3
120503,2026-01-01,200.5
120503,2026-01-02,201.75
120503,2026-01-03,202.1
120503,2026-01-04,202.1
120503,2026-01-05,202.1
120503,2026-01-06,204.25
120503,2026-01-07,205.6
120503,2026-01-08,206.15
120503,2026-01-09,207.3
120503,2026-01-10,208.45
120841,2026-01-01,125.75
120841,2026-01-02,126.8
120841,2026-01-03,127.45
120841,2026-01-04,127.45
120841,2026-01-05,128.9
120841,2026-01-06,129.75
120841,2026-01-07,130.6
120841,2026-01-08,131.25
120841,2026-01-09,132.4
120841,2026-01-10,133.15
