amfi_code,date,aum
119551,2026-01-02,12500
119551,2026-01-03,12650
119551,2026-01-04,12800
119551,2026-01-05,13050
119551,2026-01-06,13200
120503,2026-01-02,15200
120503,2026-01-03,15400
120503,2026-01-04,15650
120503,2026-01-05,15800
120503,2026-01-06,16000
118632,2026-01-02,9800
118632,2026-01-03,10050
118632,2026-01-04,10200
118632,2026-01-05,10450
118632,2026-01-06,10700
119092,2026-01-02,11000
119092,2026-01-03,11200
119092,2026-01-04,11400
119092,2026-01-05,11650
119092,2026-01-06,11800
120841,2026-01-02,13500
120841,2026-01-03,13700
120841,2026-01-04,13950
120841,2026-01-05,14100
120841,2026-01-06,14350
