amfi_code,date,nav
119551,2026-01-01,100.25
119551,2026-01-02,101.10
119551,2026-01-03,102.35
119551,2026-01-03,102.40
119551,2026-01-04,
119551,2026-01-05,
119551,2026-01-06,103.75
119551,2026-01-07,104.20
119551,2026-01-08,105.10
119551,2026-01-09,104.85
119551,2026-01-10,106.30
120503,2026-01-01,200.50
120503,2026-01-02,201.75
120503,2026-01-03,202.10
120503,2026-01-04,
120503,2026-01-05,
120503,2026-01-06,204.25
120503,2026-01-07,205.60
120503,2026-01-08,206.15
120503,2026-01-09,207.30
120503,2026-01-10,208.45
118632,2026-01-01,150.20
118632,2026-01-02,151.40
118632,2026-01-03,152.65
118632,2026-01-04,
118632,2026-01-05,153.80
118632,2026-01-06,154.95
118632,2026-01-07,155.25
118632,2026-01-08,156.40
118632,2026-01-09,157.15
118632,2026-01-10,158.30
119092,2026-01-01,75.50
119092,2026-01-02,76.25
119092,2026-01-03,77.10
119092,2026-01-04,
119092,2026-01-05,
119092,2026-01-06,78.45
119092,2026-01-07,79.20
119092,2026-01-08,80.15
119092,2026-01-09,81.05
119092,2026-01-10,82.30
120841,2026-01-01,125.75
120841,2026-01-02,126.80
120841,2026-01-03,127.45
120841,2026-01-04,
120841,2026-01-05,128.90
120841,2026-01-06,129.75
120841,2026-01-07,130.60
120841,2026-01-08,131.25
120841,2026-01-09,132.40
120841,2026-01-10,133.15
