amfi_code,year,return_1y,return_3y,return_5y,expense_ratio
119551,2022,12.5,11.8,10.9,1.25
119551,2023,15.2,13.4,11.7,1.22
119551,2024,18.6,15.7,13.2,1.20
120503,2022,13.1,12.2,11.1,1.35
120503,2023,16.4,14.1,12.0,1.30
120503,2024,19.2,16.3,13.8,1.28
118632,2022,18.5,16.2,14.5,1.85
118632,2023,22.4,18.9,16.1,1.80
118632,2024,25.1,21.3,18.4,1.75
119092,2022,11.8,11.1,10.2,1.10
119092,2023,14.9,13.0,11.5,1.05
119092,2024,17.5,15.1,12.9,1.02
120841,2022,17.2,15.4,13.8,1.65
120841,2023,20.8,17.9,15.2,1.60
120841,2024,23.7,20.1,17.3,1.55
